GN_ID,Name,Identifier,Description,Latitude,Longitude,Type,State,FIPS,County,Region,Topo
4201445,Hortense Memorial Church,,,31.32939,-81.93761,CH,GA,25,Brantley,Georgia Coast
4201446,Hortense Post Office,,,31.33689,-81.95595,PO,GA,25,Brantley,Georgia Coast
4201720,Humpback Bridge,,,31.31355,-81.98178,BDG,GA,25,Brantley,Georgia Coast
4202029,Indian Swamp,,,31.24208,-82.06524,SWMP,GA,25,Brantley,Georgia Coast
4202030,Indian Swamp,,,31.27989,-81.98646,SWMP,GA,25,Brantley,Georgia Coast
4202437,Jackson Cemetery,,,31.15245,-81.80817,CMTY,GA,25,Brantley,Georgia Coast
4202609,Jardine Bay,,,31.23246,-81.9539,SWMP,GA,25,Brantley,Georgia Coast
4202943,Johns Pond,,,31.05661,-82.14845,LK,GA,25,Brantley,Georgia Coast
4203434,Julia Lake,,,31.20217,-81.86595,LK,GA,25,Brantley,Georgia Coast
4203456,Jumping Bluff,,,31.20411,-82.18262,CLF,GA,25,Brantley,Georgia Coast
4203895,King School (historical),,,31.16967,-81.84539,SCH,GA,25,Brantley,Georgia Coast
4203947,Kings Bay,,,31.11626,-81.84825,SWMP,GA,25,Brantley,Georgia Coast
4203975,Kings Lake,,,31.14828,-81.86845,LK,GA,25,Brantley,Georgia Coast
4203997,Kings Suck,,,31.13273,-81.86511,SWMP,GA,25,Brantley,Georgia Coast
4204093,Kitchens Landing,,,31.04189,-82.22485,,GA,25,Brantley,Georgia Coast
4204118,Kneeknocker Swamp,,,31.23411,-82.02762,SWMP,GA,25,Brantley,Georgia Coast
4204170,Knox Cemetery,,,31.15439,-81.90289,CMTY,GA,25,Brantley,Georgia Coast
4204421,Lake Floree,,,31.19189,-82.23096,RSV,GA,25,Brantley,Georgia Coast
4204422,Lake Floree Dam,,,31.19411,-82.23096,DAM,GA,25,Brantley,Georgia Coast
4204748,Lake Wendi,,,31.20454,-82.26698,RSV,GA,25,Brantley,Georgia Coast
4204954,Lane Cemetery,,,31.278,-81.84233,CMTY,GA,25,Brantley,Georgia Coast
4205496,Lewis Cemetery,,,31.26689,-81.97928,CMTY,GA,25,Brantley,Georgia Coast
4205804,Linda Plantation,,,31.14356,-81.86233,,GA,25,Brantley,Georgia Coast
4205972,Little Buffalo Church,,,31.15773,-81.94984,CH,GA,25,Brantley,Georgia Coast
4205973,Little Buffalo Creek,,,31.14828,-81.97373,STM,GA,25,Brantley,Georgia Coast
4206210,Little Oak Grove Church,,,31.23217,-82.12429,CH,GA,25,Brantley,Georgia Coast
4206223,Little Okefenokee Swamp,,,31.0175,-82.08669,SWMP,GA,25,Brantley,Georgia Coast
4206284,Little Rock Church,,,31.23217,-81.76594,CH,GA,25,Brantley,Georgia Coast
4206321,Little Satilla School (historical),,,31.17967,-81.80261,SCH,GA,25,Brantley,Georgia Coast
4206701,Long Lake,,,31.16922,-81.87242,LK,GA,25,Brantley,Georgia Coast
4206702,Long Lake,,,31.25843,-81.86635,LK,GA,25,Brantley,Georgia Coast
4206801,Lord King Bluff,,,31.16273,-81.85595,CLF,GA,25,Brantley,Georgia Coast
4206997,Lower Hog Pen,,,31.09439,-81.91206,STMB,GA,25,Brantley,Georgia Coast
4207106,Lulaton,,,31.21578,-81.90372,PPL,GA,25,Brantley,Georgia Coast
4207107,Lulaton Baptist Church,,,31.21578,-81.90039,CH,GA,25,Brantley,Georgia Coast
4207288,Macedonia Church,,,31.25633,-81.89789,CH,GA,25,Brantley,Georgia Coast
4207682,Manson (historical),,,31.3405,-81.97789,PPLQ,GA,25,Brantley,Georgia Coast
4207716,Maple Suck,,,31.2855,-81.94984,SWMP,GA,25,Brantley,Georgia Coast
4207730,Marantha Church,,,31.20772,-82.27568,CH,GA,25,Brantley,Georgia Coast
4207925,Martin Cemetery,,,31.16606,-82.14679,CMTY,GA,25,Brantley,Georgia Coast
4208169,Maul Hammock Prairie,,,31.02606,-82.23429,SWMP,GA,25,Brantley,Georgia Coast
4208356,McCool Cemetery,,,31.32634,-81.77233,CMTY,GA,25,Brantley,Georgia Coast
4208540,McIntosh Bend,,,31.25356,-81.86372,STMB,GA,25,Brantley,Georgia Coast
4208548,McIntosh Creek,,,31.25245,-81.8565,STM,GA,25,Brantley,Georgia Coast
4208918,Menor School (historical),,,31.30439,-81.97817,SCH,GA,25,Brantley,Georgia Coast
4209282,Mill Branch,,,31.3155,-81.89428,STM,GA,25,Brantley,Georgia Coast
4209323,Mill Creek,,,31.18106,-81.88122,STM,GA,25,Brantley,Georgia Coast
4209324,Mill Creek,,,31.18994,-82.19012,STM,GA,25,Brantley,Georgia Coast
4209565,Millpond Branch,,,31.22661,-82.10928,SWMP,GA,25,Brantley,Georgia Coast
4209643,Mineral Branch,,,31.32689,-81.75678,STM,GA,25,Brantley,Georgia Coast
4210021,Moore Cemetery,,,31.22439,-82.13095,CMTY,GA,25,Brantley,Georgia Coast
4210453,Mount Calvary Church,,,31.1505,-82.15234,CH,GA,25,Brantley,Georgia Coast
4210746,Mount Olive Cemetery,,,31.28939,-81.75761,CMTY,GA,25,Brantley,Georgia Coast
4211207,Mount Zion Church,,,31.25078,-81.96373,CH,GA,25,Brantley,Georgia Coast
4211494,Mouth of the Branch Landing,,,31.31633,-81.93095,,GA,25,Brantley,Georgia Coast
4211495,Mouth of the Swamp Landing,,,31.28383,-81.94928,,GA,25,Brantley,Georgia Coast
4211775,Nahunta,,,31.20439,-81.98123,PPLA2,GA,25,Brantley,Georgia Coast
4211776,Nahunta City Hall,,,31.20245,-81.98261,BLDG,GA,25,Brantley,Georgia Coast
4211777,Nahunta Post Office,,,31.20661,-81.98095,PO,GA,25,Brantley,Georgia Coast
